NO,stars,day
698,6.27,2015.07.09
699,4.40,2015.07.06
700,5.11,2014.07.29
701,7.83,2014.07.25
702,8.68,2014.07.23
703,8.95,2014.07.21
704,9.04,2014.07.16
705,9.26,2014.07.14
706,9.34,2014.07.12
707,9.47,2014.07.08
708,9.48,2014.07.04
709,9.53,2014.07.03
710,9.62,2014.07.01
711,9.65,2014.06.29
712,9.68,2014.06.27
713,9.68,2014.06.25
714,9.71,2014.06.23
715,9.71,2014.06.21
716,9.62,2014.06.18
717,9.61,2014.06.16
718,9.50,2014.06.13
719,9.69,2014.06.10
720,9.73,2014.06.08
721,9.65,2014.06.05
722,9.68,2014.06.02
723,9.74,2014.05.31
724,9.72,2014.05.27
725,9.78,2014.05.25
726,9.78,2014.05.23
727,9.80,2014.05.19
728,9.80,2014.05.17
729,9.80,2014.05.15
730,9.81,2014.05.12
731,9.81,2014.05.11
732,9.81,2014.05.10
733,9.81,2014.05.09
734,9.80,2014.05.07
735,9.78,2014.05.05
736,9.70,2014.05.02
737,9.73,2014.04.30
738,9.61,2014.04.27
739,9.66,2014.04.25
740,9.67,2014.04.23
741,9.44,2014.04.18
742,9.79,2014.04.17
743,9.81,2014.04.15
744,9.81,2014.04.12
745,9.82,2014.04.10
746,9.81,2014.04.08
747,9.80,2014.04.05
748,9.82,2014.04.04
749,9.81,2014.04.01
750,9.81,2014.03.30
751,9.80,2014.03.27
752,9.83,2014.03.25
753,9.85,2014.03.23
754,9.83,2014.03.20
755,9.83,2014.03.19
756,9.72,2014.03.15
757,9.81,2014.03.12
758,9.82,2014.03.10
759,9.82,2014.03.07
760,9.82,2014.03.05
761,9.82,2014.03.03
762,9.82,2014.03.01
763,9.80,2014.02.26
764,9.81,2014.02.24
765,9.75,2014.02.22
766,9.76,2014.02.18
767,9.82,2014.02.16
768,9.83,2014.02.14
769,9.83,2014.02.11
770,9.83,2014.02.09
771,9.81,2014.02.08
772,9.76,2014.02.05
773,9.82,2014.02.03
774,9.78,2014.02.01
775,9.71,2014.01.29
776,9.75,2014.01.26
777,9.81,2014.01.24
778,9.83,2014.01.22
779,9.81,2014.01.21
780,9.67,2014.01.19
781,9.41,2014.01.16
782,9.80,2014.01.12
783,9.82,2014.01.11
784,9.71,2014.01.08
785,9.61,2014.01.06
786,9.75,2014.01.03
787,9.81,2013.12.31
788,9.84,2013.12.29
789,9.83,2013.12.27
790,9.85,2013.12.24
791,9.84,2013.12.22
792,9.83,2013.12.20
793,9.83,2013.12.17
794,9.84,2013.12.15
795,9.85,2013.12.12
796,9.86,2013.12.10
797,9.81,2013.12.09
798,9.81,2013.12.06
799,9.84,2013.12.04
800,9.81,2013.12.01
801,9.84,2013.11.28
802,9.86,2013.11.26
803,9.84,2013.11.25
804,9.81,2013.11.22
805,9.85,2013.11.20
806,9.83,2013.11.18
807,9.82,2013.11.16
808,9.80,2013.11.13
809,9.81,2013.11.10
810,9.84,2013.11.07
811,9.84,2013.11.05
812,9.84,2013.11.02
813,9.84,2013.11.01
814,9.84,2013.10.29
815,9.85,2013.10.26
816,9.86,2013.10.24
817,9.86,2013.10.22
818,9.85,2013.10.21
819,9.83,2013.10.19
820,9.80,2013.10.15
821,9.85,2013.10.13
822,9.83,2013.10.11
823,9.82,2013.10.09
824,9.79,2013.10.07
825,9.77,2013.10.04
826,9.82,2013.10.01
827,9.84,2013.09.30
828,9.80,2013.09.28
829,9.81,2013.09.24
830,9.86,2013.09.23
831,9.78,2013.09.21
832,9.70,2013.09.16
833,9.84,2013.09.15
834,9.76,2013.09.14
835,9.71,2013.09.09
836,9.83,2013.09.08
837,9.81,2013.09.06
838,9.83,2013.09.03
839,9.83,2013.09.01
840,9.83,2013.08.29
841,9.85,2013.08.27
842,9.68,2013.08.26
843,9.62,2013.08.23
844,9.81,2013.08.20
845,9.83,2013.08.18
846,9.83,2013.08.15
847,9.86,2013.08.13
848,9.83,2013.08.11
849,9.82,2013.08.09
850,9.82,2013.08.06
851,9.83,2013.08.04
852,9.82,2013.08.02
853,9.86,2013.07.29
854,9.87,2013.07.27
855,9.87,2013.07.25
856,9.86,2013.07.23
857,9.83,2013.07.20
858,9.87,2013.07.18
859,9.87,2013.07.16
860,9.86,2013.07.13
861,9.87,2013.07.11
862,9.87,2013.07.09
863,9.86,2013.07.06
864,9.86,2013.07.04
865,9.87,2013.07.02
866,9.86,2013.06.29
867,9.85,2013.06.28
868,9.86,2013.06.24
869,9.86,2013.06.22
870,9.87,2013.06.21
871,9.86,2013.06.17
872,9.87,2013.06.15
873,9.87,2013.06.13
874,9.88,2013.06.11
875,9.88,2013.06.08
876,9.88,2013.06.06
877,9.88,2013.06.03
878,9.87,2013.06.02
879,9.86,2013.05.30
880,9.88,2013.05.27
881,9.87,2013.05.26
882,9.86,2013.05.23
883,9.88,2013.05.20
884,9.88,2013.05.18
885,9.88,2013.05.16
886,9.89,2013.05.13
887,9.88,2013.05.11
888,9.88,2013.05.09
889,9.88,2013.05.06
890,9.88,2013.05.04
891,9.88,2013.05.03
892,9.88,2013.04.29
893,9.88,2013.04.27
894,9.88,2013.04.25
895,9.88,2013.04.22
896,9.88,2013.04.20
897,9.88,2013.04.18
898,9.89,2013.04.15
899,9.88,2013.04.13
900,9.88,2013.04.11
901,9.88,2013.04.08
902,9.88,2013.04.06
903,9.88,2013.04.05
904,9.89,2013.04.04
905,9.88,2013.04.04
906,9.88,2013.04.02
907,9.88,2013.04.02
908,9.89,2013.04.01
909,9.88,2013.03.30
910,9.89,2013.03.28
911,9.89,2013.03.25
912,9.88,2013.03.23
913,9.88,2013.03.21
914,9.88,2013.03.18
915,9.89,2013.03.16
916,9.88,2013.03.14
917,9.89,2013.03.11
918,9.88,2013.03.09
919,9.89,2013.03.07
920,9.89,2013.03.04
921,9.88,2013.03.02
922,9.88,2013.02.28
923,9.89,2013.02.25
924,9.86,2013.02.23
925,9.90,2013.02.21
926,9.87,2013.02.19
927,9.79,2013.02.18
928,9.65,2013.02.15
929,9.82,2013.02.12
930,9.81,2013.02.11
931,9.74,2013.02.09
932,9.75,2013.02.05
933,9.73,2013.02.04
934,9.69,2013.02.01
935,9.78,2013.01.30
936,9.72,2013.01.27
937,9.71,2013.01.26
938,9.70,2013.01.23
939,9.74,2013.01.20
940,9.80,2013.01.18
941,9.77,2013.01.17
942,9.70,2013.01.13
943,9.77,2013.01.12
944,9.78,2013.01.08
945,9.79,2013.01.06
946,9.76,2013.01.04
947,9.80,2013.01.01
948,9.77,2012.12.31
949,9.71,2012.12.28
950,9.76,2012.12.25
